Date,Country,Opponent,GoalsScored,GoalsReceived,Venue,Competition,IsHome,ExtraTime,Penalties,PenScored,PenReceived
1995-07-13,Uruguay,Mexico,1,1,Montevideo,Copa America,TRUE,FALSE,FALSE,0,0
1995-07-16,Uruguay,Bolivia,2,1,Montevideo,Copa America,TRUE,FALSE,FALSE,0,0
1995-07-19,Uruguay,Colombia,2,0,Montevideo,Copa America,TRUE,FALSE,FALSE,0,0
1995-07-23,Uruguay,Brazil,1,1,Montevideo,Copa America,TRUE,FALSE,TRUE,5,3
1997-06-12,Uruguay,Peru,0,1,Sucre,Copa America,FALSE,FALSE,FALSE,0,0
1997-06-15,Uruguay,Venezuela,2,0,Sucre,Copa America,FALSE,FALSE,FALSE,0,0
1997-06-18,Uruguay,Bolivia,0,1,La Paz,Copa America,FALSE,FALSE,FALSE,0,0
1999-07-01,Uruguay,Colombia,0,1,Asuncion,Copa America,FALSE,FALSE,FALSE,0,0
1999-07-04,Uruguay,Ecuador,2,1,Luque,Copa America,FALSE,FALSE,FALSE,0,0
1999-07-07,Uruguay,Argentina,0,2,Luque,Copa America,FALSE,FALSE,FALSE,0,0
1999-07-10,Uruguay,Paraguay,1,1,Asuncion,Copa America,FALSE,FALSE,TRUE,5,3
1999-07-13,Uruguay,Chile,1,1,Asuncion,Copa America,FALSE,FALSE,TRUE,5,3
1999-07-18,Uruguay,Brazil,0,3,Asuncion,Copa America,FALSE,FALSE,FALSE,0,0
2001-07-13,Uruguay,Bolivia,1,0,Medellin,Copa America,FALSE,FALSE,FALSE,0,0
2001-07-16,Uruguay,Costa Rica,1,1,Medellin,Copa America,FALSE,FALSE,FALSE,0,0
2001-07-22,Uruguay,Costa Rica,2,1,Armenia,Copa America,FALSE,FALSE,FALSE,0,0
2001-07-25,Uruguay,Mexico,1,2,Pereira,Copa America,FALSE,FALSE,FALSE,0,0
2004-07-07,Uruguay,Mexico,2,2,Chiclayo,Copa America,FALSE,FALSE,FALSE,0,0
2004-07-10,Uruguay,Ecuador,2,1,Chiclayo,Copa America,FALSE,FALSE,FALSE,0,0
2004-07-13,Uruguay,Argentina,2,4,Piura,Copa America,FALSE,FALSE,FALSE,0,0
2004-07-18,Uruguay,Paraguay,3,1,Tacna,Copa America,FALSE,FALSE,FALSE,0,0
2004-07-21,Uruguay,Brazil,1,1,Lima,Copa America,FALSE,FALSE,TRUE,3,5
2004-07-24,Uruguay,Colombia,2,1,Cusco,Copa America,FALSE,FALSE,FALSE,0,0
2007-06-26,Uruguay,Peru,0,3,Merida,Copa America,FALSE,FALSE,FALSE,0,0
2007-06-30,Uruguay,Bolivia,1,0,San Cristobal,Copa America,FALSE,FALSE,FALSE,0,0
2007-07-03,Uruguay,Venezuela,0,0,Merida,Copa America,FALSE,FALSE,FALSE,0,0
2007-07-07,Uruguay,Venezuela,4,1,San Cristobal,Copa America,FALSE,FALSE,FALSE,0,0
2007-07-10,Uruguay,Brazil,2,2,Maracaibo,Copa America,FALSE,FALSE,TRUE,4,5
2007-07-14,Uruguay,Mexico,1,3,Caracas,Copa America,FALSE,FALSE,FALSE,0,0
2011-07-04,Uruguay,Peru,1,1,Mendoza,Copa America,FALSE,FALSE,FALSE,0,0
2011-07-08,Uruguay,Chile,1,1,Mendoza,Copa America,FALSE,FALSE,FALSE,0,0
2011-07-12,Uruguay,Mexico,1,0,La Plata,Copa America,FALSE,FALSE,FALSE,0,0
2011-07-16,Uruguay,Argentina,1,1,Santa Fe,Copa America,FALSE,TRUE,TRUE,5,4
2011-07-19,Uruguay,Peru,2,0,La Plata,Copa America,FALSE,FALSE,FALSE,0,0
2011-07-24,Uruguay,Paraguay,3,0,Buenos Aires,Copa America,FALSE,FALSE,FALSE,0,0
2013-06-26,Uruguay,Brazil,1,2,Belo Horizonte,FIFA Confederations Cup,FALSE,FALSE,FALSE,0,0
1996-04-24,Paraguay,Colombia,0,1,Barranquilla,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
1996-06-02,Paraguay,Uruguay,2,0,Montevideo,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
1996-09-01,Paraguay,Argentina,1,1,Buenos Aires,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
1996-10-09,Paraguay,Chile,2,1,Asuncion,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
1996-11-10,Paraguay,Ecuador,1,0,Asuncion,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
1996-12-15,Paraguay,Bolivia,0,0,La Paz,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
1997-01-12,Paraguay,Venezuela,2,0,Merida,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
1997-02-12,Paraguay,Peru,2,1,Asuncion,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
1997-04-02,Paraguay,Colombia,2,1,Asuncion,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
1997-04-30,Paraguay,Uruguay,3,1,Asuncion,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
1997-07-06,Paraguay,Argentina,1,2,Asuncion,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
1997-07-20,Paraguay,Chile,1,2,Santiago de Chile,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
1997-08-20,Paraguay,Ecuador,1,2,Quito,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
1997-09-10,Paraguay,Bolivia,2,1,Asuncion,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
1997-10-12,Paraguay,Venezuela,1,0,Asuncion,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
1997-11-16,Paraguay,Peru,0,1,Lima,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
